Disease	Code	Pathophysiology	HC-P	HC-S	LC-P	LC-S
degenerative disc disease	DOID:90	degenerative	2	2	7	6
cleft lip	DOID:9296	congenital	2	3	4	5
idiopathic pulmonary fibrosis	DOID:0050156	degenerative	1	0	0	0
attention deficit hyperactivity disorder	DOID:1094	psychiatric	1	0	27	1
Gilles de la Tourette syndrome	DOID:11119	psychiatric	1	2	2	5
exfoliation syndrome	DOID:13641	degenerative	1	0	0	0
endometrial cancer	DOID:1380	neoplastic	1	0	1	1
thoracic aortic aneurysm	DOID:14004	unspecific	1	0	0	0
endogenous depression	DOID:1595	psychiatric	1	1	27	32
mood disorder	DOID:3324	psychiatric	1	0	0	0
allergic rhinitis	DOID:4481	immunologic	1	5	11	3
pancreatic carcinoma	DOID:4905	neoplastic	1	2	11	4
bone marrow cancer	DOID:4960	neoplastic	1	0	0	0
pancreatitis	DOID:4989	unspecific	1	1	0	1
nephrolithiasis	DOID:585	metabolic	1	3	0	0
mature B-cell neoplasm	DOID:706	neoplastic	1	1	1	2
periodontitis	DOID:824	infectious	1	0	0	0
Barrett's esophagus	DOID:9206	neoplastic	1	3	1	3
Fuchs' endothelial dystrophy	DOID:11555	degenerative	0	0	2	0
otosclerosis	DOID:12185	idiopathic	0	0	1	0
conduct disorder	DOID:12995	psychiatric	0	2	3	3
focal segmental glomerulosclerosis	DOID:1312	unspecific	0	0	1	1
dental caries	DOID:216	infectious	0	0	23	21
anemia	DOID:2355	unspecific	0	0	2	1
panic disorder	DOID:594	psychiatric	0	0	10	7
acquired immunodeficiency syndrome	DOID:635	infectious	0	7	7	4
chronic myeloid leukemia	DOID:8552	neoplastic	0	0	1	8
